# FractureId; NumTraces
0; 7
# TraceId; Tips; Length
373; 1; 3.2337647737518926e-01
95; 1; 3.1592384318204869e-01
375; 1; 3.0109577005753946e-01
336; 1; 2.0888544717545282e-01
318; 1; 1.5996254949720243e-01
376; 1; 1.4677487957712490e-01
280; 1; 1.2244077852624441e-01
191; 1; 3.5421316955079864e-02
# FractureId; NumTraces
26; 11
# TraceId; Tips; Length
380; 0; 4.6734052579369417e-01
149; 0; 3.9088120433452117e-01
382; 0; 3.8009660923537175e-01
381; 0; 1.2046312069858915e-01
20; 1; 6.2264135513783769e-01
379; 1; 3.5849312813247464e-01
96; 1; 3.1802728350911863e-01
51; 1; 2.8604972919225713e-01
168; 1; 1.8829959712507519e-01
78; 1; 1.4229570102831179e-01
383; 1; 7.7910213708733675e-02
# FractureId; NumTraces
27; 31
# TraceId; Tips; Length
237; 0; 8.4413157921099147e-01
192; 0; 2.8851619876241535e-01
364; 0; 1.7327692022259764e-01
387; 0; 1.5364841990270361e-01
350; 1; 9.5462523364385488e-01
169; 1; 8.8777586775709461e-01
390; 1; 7.6222154856684354e-01
254; 1; 7.4207253052710243e-01
385; 1; 7.1993853745243352e-01
396; 1; 6.7616921434791166e-01
392; 1; 6.6832441573916379e-01
222; 1; 6.6825684774495753e-01
52; 1; 6.4841762967191341e-01
123; 1; 5.3336313639516497e-01
270; 1; 5.0885998254446663e-01
394; 1; 4.6770087452259018e-01
319; 1; 4.5992181152418043e-01
388; 1; 4.2360347217407990e-01
397; 1; 3.7331556112257119e-01
208; 1; 3.6482203614073894e-01
393; 1; 3.3151819618747258e-01
150; 1; 3.2472319566450430e-01
292; 1; 2.6881583157071798e-01
384; 1; 2.4376424681270967e-01
337; 1; 2.3423202477595242e-01
391; 1; 1.9903200414361202e-01
389; 1; 1.4519292548355767e-01
386; 1; 1.2907603797750650e-01
395; 1; 9.9297097086766539e-02
97; 1; 6.7464180324003850e-02
21; 1; 3.2205721229196821e-02
# FractureId; NumTraces
28; 19
# TraceId; Tips; Length
401; 0; 6.7255169337014775e-01
402; 0; 2.6448651278908525e-01
403; 1; 8.7201812790973088e-01
293; 1; 7.3941562791058091e-01
170; 1; 6.0907503004802821e-01
238; 1; 5.8490672423816537e-01
399; 1; 4.0898971470546736e-01
320; 1; 3.8125375513747062e-01
305; 1; 3.7250681748203807e-01
365; 1; 3.2320722978942407e-01
22; 1; 2.7949254124386491e-01
271; 1; 2.6588082192644524e-01
384; 1; 2.4376424681270967e-01
255; 1; 1.5119049650334160e-01
398; 1; 8.8697810397097510e-02
351; 1; 7.9836739385102759e-02
79; 1; 6.0080722747593449e-02
209; 1; 6.5340490992791041e-03
400; 1; 6.5333721697735676e-03
# FractureId; NumTraces
29; 30
# TraceId; Tips; Length
